contactid,title,description,overrideurl,affinity,clustergroup,ogname,ogtexthead,ogtitle1,ogtag1,ogurl1,ogtitle2,ogtag2,ogurl2,ogmoreinfo,ogmoreinfourltitle,ogmoreinfourltag,ogmoreinfourl,telephonename,phonetexthead,phoneopenhours,telephone,telephonename2,phonetexthead2,phoneopenhours2,telephone2,textphone,international,fax,phonemoreinfo,phonemoreinfourltitle,phonemoreinfourltag,phonemoreinfourl,emailtexthead,emailtitle1,emailtag1,emailaddress1,emailurl1,emailtitle2,emailtag2,emailaddress2,emailurl2,emailmoreinfo,emailmoreinfourltitle,emailmoreinfourltag,emailmoreinfourl,postname,posttexthead,posttag1,postaddress1,posttag2,postaddress2,posttag3,postaddress3,postmoreinfo,postmoreinfourltitle,postmoreinfourltag,postmoreinfourl,keywords,alt_meta_title,alt_meta_description,alt_meta_keywords,entrysource,externalid,lastupdated
97,"Alcohol & Tobacco Warehousing Declaration (ATWD) - Online Services Helpdesk
Online Services Helpdesk - Alcohol & Tobacco Warehousing Declaration (ATWD)",For assistance on how to register or enrol to use the ATWD service,,businesses & corporations > All businesses,"VAT, Customs, Excise duties",,,,,,,,,,,,,ATWD - Online Services Helpdesk,For help and assistance on how to register or enrol to use ATWD service,"8.00 am to 5.00 pm, Monday to Friday  
Closed weekends and bank holidays",0845 010 8500,,,,,,,,,,,,,ATWD Online Services Helpdesk - email a question,You can email a question about an Alcohol & Tobacco Warehousing Declaration (ATWD),,https://online.hmrc.gov.uk/shortforms/form/OSHVAT?dept-name=&sub-dept-name=&location=47&origin=http://www.hmrc.gov.uk,,,,,"To send a question you will need to include an email address along with a contact name and the postcode of your main place of business. You will also need to include your Warehouse ID. 

By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,hzALFUz_gvw,31/05/2013 14:58:28
98,Guardian's Allowance Helpline,Find out if you can get Guardian's Allowance if you're bringing up someone else's child or children and both parents have died,,individuals & employees > All individuals,Tax credits and other benefits,,,Guardian's Allowance,Find out if you can get Guardian's Allowance if you're bringing up a child whose parents have died,http://www.hmrc.gov.uk/childbenefit/payments-entitlements/other-benefits/guardians-allowance.htm,,,,,,,,Guardian's Allowance Helpline,,"8.00 am to 8.00 pm, Monday to Friday
8.00 am to 4.00 pm Saturday  
Closed Sundays and bank holidays",0300 200 3101,,,,,0300 200 3103,,,,,,,Use the HM Revenue & Customs email service,Send us your Guardian's Allowance query online,,,http://www.hmrc.gov.uk/childbenefit/question.htm,Let us know about changes online that may affect your Guardian's Allowance,,,http://www.hmrc.gov.uk/childbenefit/change-circs.htm,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,You can write to us at the following address:,,"The Guardian's Allowance Unit 
Child Benefit Office
PO Box 1 
Newcastle upon Tyne  
NE88 1AA",,,,,,,,,,,,,enquiry,KrgmDKbrQ-Y,31/05/2013 14:58:28
99,Status Customer Service Team,For individuals or employers who are unable to use the Employment Status Indicator tool (ESI) and are unsure of their workers or your own employment status (employed or self-employed),,"individuals & employees > All individuals
employers > All employers",Tax,,,Online Employment Status Indicator,Use the Online interactive tool to help you decide employment status - it's the quickest way of getting HMRC's view if you or a worker is employed or self-employed,http://www.hmrc.gov.uk/calcs/esi.htm,,,,,,,,Status Customer Service Team,"Employment status enquiries for Scotland, Wales and Northern Ireland","9.00 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",01355 275 871,Status Customer Service Team,Employment status enquiries for England,"9.00 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",03000 527450,,,,,,,,,,,,,,,,,,,,,,,"For written enquiries for Scotland, Wales and Northern Ireland","HM Revenue & Customs
Status Customer Service Team S0889
PO Box 3900
Glasgow
G70 6AA",,"For written enquiries for England

HM Revenue & Customs
Status Customer Service Team S0844 
PO Box 3900
Glasgow
G70 6AA",,,,,,,,,,,enquiry,jriKalW18IQ,31/05/2013 14:58:28
100,Welsh Language Helpline for Debt Management,For enquiries on methods of payment,,"individuals & employees > All individuals
businesses & corporations > All businesses",See also,,,,,,,,,,,,,Welsh Language Helpline for Debt Management,,"8.00 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",03000 534 863,,,,,,,,"For enquiries regarding: 
- Pay As You Earn (PAYE) 
- National INsurance Contributions Class 1, 2 and 4 
- Corporation Tax 
- Self Assessment Tax 
- Pre Self Assessment debt
- Value Added Tax (VAT) 
- Insurance Premium Tax 
- Air Passenger Duty 
- Landfill Tax 
- Climate Change Levy
- Aggregates Levy 
- Traders Accounts Payments System 
- Money Laundering Regulations 
- Trade Statistics 
- Eurpoean Sales List (ESLs) 
- Rebated Fuels 
- Amusement Machine Licence Duty 
- Bingo Duty 
- Gaming (Casinos) Duty 
- General Betting Duty 
- Lottery Duty 
- Pool Betting Duty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,oZYhdCbcE0s,31/05/2013 14:58:28
101,Childcare Provider's Helpline,For all enquiries relating to the childcare element of Working Tax Credit.,,"individuals & employees
businesses & corporations > All businesses",See also,,,Information for childcare providers,Find out more about what you need to know when providing childcare for individuals claiming the childcare element of Working Tax Credit,http://www.hmrc.gov.uk/leaflets/wtc5-hs.pdf,,,,,,,,Childcare Provider's Helpline,This helpline provides advice regarding the childcare element of Working Tax Credit for child care providers only. For all other tax credit enquiries contact the Tax Credits Helpline by following the link below.,"8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday",0845 300 3941,,,,,0845 300 3909,,,,Tax Credits Helpline,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?sr=0&amp;as=1&amp;cs=ISO-8859-1&amp;sc=hmrc&amp;sm=0&amp;nh=50&amp;ha=34&amp;tx0=60&amp;fl0=contactid:&amp;tx1=&amp;raction=view,,,,,,,,,,,,,,,,You can write to us at the following address:,"Tax Credit Office 
Preston 
PR1 0SB",,,,,,,,,,,,,enquiry,zE9d1QZujXQ,31/05/2013 14:58:29
102,Public Bodies Enquiries,VAT and employer taxes enquiries for Public Bodies,,businesses & corporations > All businesses,See also,,,,,,,,,,,,,Public Bodies Group Customer Coordinator Team,"Over the last few years we have been working closely with large businesses and public bodies to improve the way we work with them. In response to requests for a single, initial point of contact with us, the Public Bodies Group has now introduced a Customer Co-ordinator Team.","9.00 am to 3.00 pm, Monday to Friday 
Closed weekends and bank holidays",0845 600 5310,,,,,,,,"You can contact us through our Customer Co-ordinator Team and they will look to deal with your VAT and employment taxes queries in the most effective way possible.  Usually, one of the Customer Coordinators will reply to your query, but where this is not possible, they will pass it onto the right person.",,,,Use the HM Revenue & Customs email service,Send the Public Bodies Customer Coordinator Team your VAT or employer taxes enquiries,,,http://www.hmrc.gov.uk/public-bodies/webform.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,Public Bodies can write to HMRC at the following address:,"Public Bodies Group
Customer Coordinator Team 
Custom House 
The Dockland 
Pembroke Dock 
SA72 6TW",,,,,,,,,,,,,enquiry,F7zhWHxPw_I,31/05/2013 14:58:29
103,"Employers - how to confirm an employee tax code
Employee tax code
Tax code for an employee",Help for employers who want to check the tax code for an employee or provide certain information,,employers > All employers,Tax,,,,,,,,,,,,,Taxes Helpline,"Help for employers who think they maybe operating a wrong tax code for an employee. 

If you pass certain HMRC security checks, the Taxes Helpline will confirm an employee tax code and accept certain information impacting on a tax code. The only employee information HMRC will disclose is the tax code. They'll not be able to discuss a tax code in any detail or provide any  other information relating to an employee.

Please have your employee's National Insurance number with you when you phone.","8.00 am to 8.00 pm, Monday to Friday 
8.00 to 4.00 pm Saturday",0300 200 3300,,,,,,,,"If you've passed the HMRC security checks, they will accept information that could impact on an employee tax code. They will accept the following information to update their records:  
- details of new employment and the date it started  
- employee works or payroll number 

The Taxes Helpline can't tell you why a tax code has changed, but they'll explain the reason to your employee. Your employee can contact the  helpline by following the link below.","Taxes Helpline for individuals, pensioners and employees",,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&amp;fl0=__dsid%3A&amp;sm=0&amp;ha=34&amp;as=1&amp;sf=&amp;sp_scope=hmrc&amp;cs=ISO-8859-1&amp;tx0=49612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,XAkMwTNmvik,24/06/2013 09:15:26
104,"International tax queries
Businesses International
CTIAA Business International
International tax for businesses",Offices dealing with international tax queries,,businesses & corporations > All businesses,Tax,,,HMRC offices dealing with international tax,There are a number of HMRC offices that deal with international tax. This guide will help you decide who you should contact.,http://www.hmrc.gov.uk/international/contacts.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,336TuD-xvpU,31/05/2013 14:58:29
106,"Voluntary Disclosure Helpline
Campaigns - Voluntary Disclosure Helpline
Error - Voluntary Disclosure Helpline
Mistake - Voluntary Disclosure Helpline",For advice on bringing your tax up to date when you do not qualify for a current campaign,,"individuals & employees > All individuals
individuals & employees
businesses & corporations > All businesses
employers > All employers",Tax,,,What are HMRC campaigns?,For information about current live campaigns and what to do if you want to bring your tax up to date but don't qualify under a campaign,http://www.hmrc.gov.uk/campaigns/introduction.htm,,,,,,,,Voluntary Disclosure Helpline,For more information about making a voluntary disclosure and how to tell HMRC about your income you can ring the Campaigns Voluntary Disclosure Helpline,"8.00 am to 6.30 pm, Monday to Friday",0845 601 5041,,,,,,,,,,,,,,,,,,,,,,,,,,,You can write to the Voluntary Disclosure Team about your undisclosed income at the following address:,"HM Revenue & Customs 
Local Compliance Centres  
Campaigns Voluntary Disclosure Team S0790
PO Box 3900  
Glasgow
G70 6AA",,,,,,,,,,,,"error, mistake",enquiry,Du_66zQHubg,31/05/2013 14:58:29
107,Couriers,Find out which HM Revenue & Customs address to use to deliver to local Tax Offices,,"individuals & employees > All individuals
businesses & corporations > All businesses
employers > All employers",See also,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Couriers can still deliver to HMRC local office addresses, but will not be able to deliver to PO Boxes. 

If you are a courier and don't know a HMRC local office address, please use the following:",,"HM Revenue & Customs
St Mungo's Road 
Cumbernauld 
Strathclyde
G67 1YZ",,,,,,,,,,,,,enquiry,WW0sjGqioLg,31/05/2013 14:58:29
108,"Non-UK expatriate employees (Expats)
Expatriate Employees",Advice for people working for multi-national organisations seconded to the UK for up to 3 years,,individuals & employees > All individuals,Tax,,,,,,,,,,,,,,,"8.30 am to 5.00 pm, Monday to Friday 
Closed weekends and bank holidays",03000 533 148,,,,,,,0161 261 3198,For people working for multi-national organisations seconded or assigned to the UK for up to 3 years. This helpline does not deal with UK Nationals leaving the UK to work abroad. If you are a UK National leaving the UK to work abroad contact the Taxes Helpline by following the link below.,Taxes Helpline,,http://search2.hmrc.gov.uk/kb5/hmrc/contactus/view.page?record=hpkspulskxM,,,,,,,,,,,,,,,,,"HMRC Personal Tax International
Operations, SO733
PO Box 203
L69 9AP",,,,,,,,,,,,,enquiry,Fcq4VtD7AW8,04/07/2013 09:12:56
109,"VAT and option to tax
Option to tax - VAT",For all queries about VAT and opting to tax land or buildings,,businesses & corporations > All businesses,"VAT, Customs, Excise duties",,,Notice 724A - Opting to land and buildings,Read VAT Notice 742A to help you decide whether to opt to tax land and buildings,http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&_pageLabel=pageVAT_ShowContent&id=HMCE_CL_000158&propertyType=document,,,,,,,,VAT Helpline,"Phone the VAT Helpline for all queries about VAT and opting to tax land or buildings. Before you ring, make sure you have your VAT registration number and post code to hand. If you're not registered for VAT you'll need your post code.","8.00 am to 6.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3700,Option to Tax Unit,"Please only contact the Option to Tax Unit by telephone if you have recently received correspondence from the unit and have a query about this. 

Please note you should allow at least 15 working days for the unit to respond to your original enquiry","9.00 am to 5.00 pm, Monday to Thursday 
9.00 am to 4.30 pm Friday",03000 530005,,,03000 529807,,,,,Option to Tax Unit,,,optiontotaxnationalunit@hmrc.gsi.gov.uk,,,,,,"Email Option to Tax Unit quoting your full name and addresss if you want to:
- ask a specific question relating to a recent letter you have received from the Option to Tax Unit 
- establish whether you have opted to tax a particular area of land / property 
- submit an option to tax notification

We cannot guarantee the security of emails you send to us over the internet. Information sent by email over the internet is not secure and it is at risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. 

We will respond to your email enquiries by postal mail as the information we will provide is confidential.   

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Report HMRC related phishing emails,,http://www.hmrc.gov.uk/security/phishing.htm,,,,,,,,,"Although we recommend that you send your questions by email, you can write to us to: 
- ask a specific question relating to a recent letter you have received from the Option to Tax Unit 
- establish whether you have opted to tax a particular area of land / property 
- submit an option to tax notification 
- attach some relevant additional information

Important 
Please do not send more than one copy of your enquiry to the Option to Tax Unit as this will delay the unit's reply to you. For example, do not send an enquiry to the unit by email and then send the same enquiry by post.   

Please note you should allow at least 15 working days for the Option to Tax Unit to respond to your original enquiry. The address is:

HM Revenue & Customs
Option to Tax Unit 
Cotton House 
7 Cochrane Street 
Glasgow 
G1 1GY",,,,,,,,enquiry,1qGlHTZsK5g,01/07/2013 09:03:02
110,"VAT Outstanding Returns
Campaigns - VAT Outstanding Returns",For guidance on the VAT Outstanding Returns campaign and how to bring your VAT up to date,,"businesses & corporations > All businesses
businesses & corporations","VAT, Customs, Excise duties",,,VAT Outstanding Returns Campaign,For guidance on the VAT Outstanding Returns campaign and how to bring your VAT up to date,http://www.hmrc.gov.uk/campaigns/vator.htm,,,,,,,,VAT Helpline,"If you can't find the information you need to bring your VAT up to date on the HMRC website, you can call the VAT Helpline","8.00 am to 6.00 pm, Monday to Friday 
Closed weekends and bank holidays",0300 200 3700,,,,,,+44 2920 501 261,,,,,,,,,,,,,,,,,,,,,For advice on the VAT Outstanding Returns campaign you can write to the team at the following address:,"HM Revenue & Customs
VAT Outstanding Returns Team 
Newcastle Compliance Centre 
BP5102 Dunstanburgh House 
Benton Park View 
Longbenton
Newcastle 
NE98 1ZZ",,,,,,,,,,,,,enquiry,0-JFpVPC8Mg,24/06/2013 09:24:42
112,"Property Sales campaign
Campaigns - property sales","For advice on how to take part in the Property Sales campaign if you have sold a residential property, in the UK or abroad, that?s not you main home, and have not told HM Revenue & Customs (HMRC) about it.",,"individuals & employees > All individuals
individuals & employees",Tax,,,Property Sales campaign,"For advice on how to take part in the Property Sales campaign if you have sold a residential property, in the UK or abroad, that?s not you main home, and have not told HM Revenue & Customs (HMRC) about it.",http://www.hmrc.gov.uk/campaigns/psc.htm,,,,,,,,Property Sales Campaign Helpline,"If you can?t find the answer to your question on the HMRC website, you can phone the Property Sales Campaign Helpline:","Opening hours 8.00 am to 6.30 pm, Monday to Friday",0845 601 8819,,,,,,+44 120 258 5395,,,,,,,,,,,,,,,,,,,,,For advice on the Property Sales campaign you can write to the team at the following address:,"HM Revenue & Customs 
Local Compliance Centres
Property Sales Campaign S0790
PO Box 3900
Glasgow
G70 6AA",,,,,,,,,,,,,enquiry,RWe52H6n270,31/05/2013 14:58:30
113,"Offshore Disclosure Facility Helpdesk
Isle of Man Disclosure Facility
Guernsey Disclosure Facility
Jersey Disclosure Facility",Tell HMRC about your undisclosed offshore income and pay what you owe within set deadlines,,"individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,What are offshore facilities?,Opportunities to tell HMRC about your undisclosed offshore income and pay tax you owe within set deadlines,http://www.hmrc.gov.uk/offshoredisclosure,,,,,,,,Offshore Disclosure Facility Helpdesk,"Phone the helpdesk for all queries about making an offshore disclosure for assets held in the Isle of Man, Guernsey and Jersey.","8.30 am to 4.30 pm, Monday to Friday 
Closed weekends, Christmas Day, Boxing Day and New Year's Day",0845 600 6407,,,,,,"+44 151 300 2714, +44 151 300 2731, +44 151 300 2709",,,,,,,,,,,,,,,,,,,,,You can write to HMRC by using the postal address on the most recent correspondence from us. If you don't have recent correspondence from us then write to:,"Specialist Investigations
Offshore Helpdesk SO694
PO Box 29992
Glasgow
G70 6AB",,,,,,,,,,,,,enquiry,zdl8hG_Uy6w,31/05/2013 14:58:30
114,Annual Tax on Enveloped Dwellings (ATED),"For information and advice about ATED, who needs to complete and submit a return and make a payment",,"individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,Annual Tax on Enveloped Dwellings (ATED) ? the basics,"Understanding ATED, the new tax on high value property, whether it affects you and how it operates.",http://www.hmrc.gov.uk/ated/index.htm,,,,,,,,Annual Tax on Enveloped Dwellings Helpline,For enquiries relating to ATED,"8.30 am to 5.00 pm Monday to Friday
Closed weekends and bank holidays",0845 603 0135,,,,,,+44 1726 209 042,03000 570 316,,,,,,,,,,,,,,,,,,Writing to HM Revenue & Customs (HMRC) about ATED,,,"Use the address below if you're writing to HMRC about anything to do with ATED. 

Annual Tax on Enveloped Dwellings Team
HMRC SDLT and ATED Policy 
Room 3E/07
100 Parliament Street 
London
SW1A 2BQ",,,,,,,,,,,,,enquiry,zRPjRJyXrS4,31/05/2013 14:58:30
115,"Campaigns - My Tax Return Catch Up
My Tax Return Catch Up campaign",For advice about bringing your Self Assessment tax returns up to date,,individuals & employees > Self-employed,Tax,,,My Tax Return Catch Up campaign,For guidance on the My Tax Return Catch Up campaign and how to bring your Self Assessment tax returns up to date,http://www.hmrc.gov.uk/campaigns/mtrc.htm,,,,,,,,My Tax Return Catch Up Campaign Helpline,"If you can't find the information you need to bring your tax returns up to date on the HMRC website, you can phone the helpline","9.00 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0845 601 8818,,,,,,+44 120 258 5395,,,,,,,,,,,,,,,,,,,,,For further advice on the My Tax Return Catch Up campaign you can write to the team at the following address:,"HM Revenue & Customs
Local Compliance Centres
My Tax Return Catch Up team S0790
PO Box 3900
Glasgow
G70 6AA",,,,,,,,,,,,,enquiry,XqTKgHTGuBE,11/07/2013 07:53:42
